order_id,customer_id,product_id,order_date,order_time,region,category,quantity,unit_price,discount_pct,payment_method,customer_age,rating,return_flag,shipping_city
ORD001972,CUST00245,PROD0171,08-13-2022,20:29:55,West,Beauty,2,USD 227.86,12.4,Cash,32.0,1.2,Yes,Phoenix
ORD002546,CUST00420,PROD0104,10/03/2022,06:39:16,south,Books,10,277.09,18.1,PayPal,49.0,4.2,No,CHICAGO
ORD002008,CUST00462,PROD0099,01-17-2023,07:51:57,east,Beauty,1,150.85,21.1,PayPal,47.0,2.2,No,miami
ORD001217,CUST00555,PROD0006,03-16-2023,15:12:04,East,Sports,8,145,13.4,Credit Card,59.0,1.9,No,Phoenix
ORD002714,CUST00552,PROD0107,2022/03/16,10:56:08,NORTH,Sports,1,190.58,,Bank Transfer,42.0,3.6,No,CHICAGO
ORD001431,CUST00424,PROD0084,2023/03/28,08:28:15,East,Electronics,5,248,32.7,Bank Transfer,51.0,4.1,No,  Denver  
ORD001594,,PROD0071,15/01/2023,15:23:33,south,Sports,6,287.92,28.2,Credit Card,25.0,1.8,No,dallas
ORD002442,CUST00413,PROD0185,06/01/2022,13:21:34,,Books,6,367.06,33.2,PayPal,22.0,2.1,No,Dallas
ORD002453,CUST00394,PROD0120,19/05/2023,06:18:18,South,Sports,4,346.26,29.9,Bank Transfer,38.0,4.9,No,  New York  
ORD002492,CUST00451,PROD0175,10-02-2022,07:49:22,East,Electronics,5,420.33,8.9,PayPal,66.0,1.3,Yes,NEW YORK
ORD001207,CUST00594,PROD0180,03/04/2022,04:02:15,west,Books,3,24.38,12.3,Credit Card,75.0,1.1,No,  Seattle  
ORD001908,CUST00565,PROD0155,09-25-2023,13:31:43,south,Home & Garden,1,384.90,33.7,Bank Transfer,62.0,1.9,No,PHOENIX
ORD001032,CUST00185,PROD0037,03-06-2022,21:58:37,East,Beauty,7,40.80,0.4,Debit Card,60.0,3.6,No,DENVER
ORD002294,CUST00459,PROD0188,2023/12/11,07:52:51,East,books,2,171.67,2.5,PayPal,53.0,2.5,No,Miami
ORD002669,CUST00533,PROD0191,2023/05/09,14:04:06,Central,Electrnics,3,829.77,6.8,PayPal,61.0,0,Yes,Los Angeles
ORD002303,CUST00015,PROD0160,10/10/2022,16:36:28,Central,Books,10,74.76,9.1,Debit Card,61.0,4.3,No,Dallas
ORD002051,CUST00433,PROD0099,06-20-2023,11:22:09,North,Clothing,8,158.07,26.8,PayPal,34.0,3.7,No,houston
ORD002711,CUST00126,PROD0157,10/02/2023,06:36:34,South,Clothing,7,162,0.1,Cash,60.0,4.7,No,atlanta
ORD001456,CUST00097,PROD0025,09-09-2023,07:43:23,East,Electronnics,10,102.85,13.1,Bank Transfer,18.0,4.9,Yes,Chicago
ORD001880,CUST00145,PROD0151,2022/01/18,06:20:05,West,Home & Garden,1,162.54,5.7,Cash,70.0,7,No,Houston
ORD001191,CUST00145,PROD0013,26/12/2023,16:34:28,North,Books,4,120.47,15.3,PayPal,24.0,2.9,No,ATLANTA
ORD002215,CUST00148,PROD0042,08-24-2023,14:57:01,North,Electronics,4,$199.25,36.6,Debit Card,60.0,4.9,No,  Atlanta  
ORD002052,CUST00236,PROD0030,08-26-2022,20:24:34,CENTRAL,Beauty,7,USD 175.26,33.5,Bank Transfer,18.0,4.6,No,MIAMI
ORD002367,CUST00175,PROD0053,2022/09/04,12:31:18,south,Home & Garden,2,$250.29,2.0,Debit Card,38.0,3.6,No,Dallas
ORD002291,CUST00534,PROD0041,05-26-2022,12:54:47,East,beauty,5,35.3,30.7,Credit Card,37.0,1.1,No,CHICAGO
ORD002699,CUST00393,PROD0097,11-01-2022,08:33:59,,Electronics,4,1070.72,3.4,Debit Card,61.0,3.5,No,New York
ORD002449,CUST00056,PROD0069,22/09/2022,17:37:37,Central,,3,$234.73,15.6,Credit Card,67.0,3.8,No,New York
ORD002243,CUST00008,PROD0062,02/11/2023,18:45:32,North,Clohing,3,$91.46,20.3,Cash,58.0,2.8,No,seattle
ORD002310,CUST00557,PROD0029,27/01/2023,20:05:24,  Central  ,Home & Garden,3,259.54,28.6,Debit Card,28.0,4.0,No,Dallas
ORD002534,CUST00160,PROD0195,16/02/2022,08:58:25,CENTRAL,Electronics,3,989.45,16.4,Bank Transfer,64.0,1.0,Yes,Atlanta
ORD002624,CUST00455,PROD0005,2022/03/14,11:46:24,NORTH,Electronics,6,$197.21,31.8,Credit Card,72.0,1.7,No,Miami
ORD001951,CUST00582,PROD0130,2023/11/17,08:51:40,North,Books,7,308.85,36.4,Credit Card,30.0,2.1,No,dallas
ORD001285,CUST00409,PROD0011,10-26-2023,20:29:36,  Central  ,Books,6,106.27,13.9,Cash,47.0,2.2,No,Seattle
ORD002056,CUST00561,PROD0128,2023/05/22,08:29:11,North,Clothing,3,93.28,5.8,Cash,69.0,1.2,No,dallas
ORD001757,CUST00372,PROD0041,05-07-2022,18:10:35,South,Beauty,6,346.28,21.3,Credit Card,-5.0,4.5,No,Los Angeles
ORD001883,CUST00226,PROD0190,02-27-2023,12:43:49,NORTH,Clothing,2,$157.42,24.2,PayPal,30.0,4.4,No,Los Angeles
ORD001174,CUST00590,PROD0007,04/02/2022,02:38:41,WEST,toys,7,271.98,39.6,Credit Card,70.0,1.7,No,Chicago
ORD001419,CUST00516,PROD0161,2022/02/20,01:10:36,West,Sports,7,USD 232.53,24.1,Credit Card,65.0,1.4,No,new york
ORD001579,CUST00325,PROD0109,02-07-2023,12:40:40,  South  ,Clothing,6,15.92,11.4,Bank Transfer,37.0,1.7,No,Denver
ORD001168,CUST00069,PROD0026,2022/01/27,09:31:12,east,Sprots,3,375.74,25.0,Debit Card,51.0,99,No,Seattle
ORD001986,CUST00183,PROD0119,21/05/2023,03:45:50,West,Books,8,234.29,25.4,Credit Card,30.0,4.5,No,phoenix
ORD002491,CUST00122,PROD0043,2022/11/08,14:42:40,East,BEAUTY,7,185.26,36.3,Credit Card,41.0,4.1,No,NEW YORK
ORD001107,CUST00031,PROD0064,2022/05/02,13:10:06,Central,Electronics,8,985.69,2.2,Bank Transfer,65.0,2.1,No,New York
ORD001791,CUST00124,PROD0061,28/01/2023,07:51:47,East,Sports,1,94.38,10.5,Debit Card,56.0,1.6,No,Atlanta
ORD002268,CUST00508,PROD0031,06-25-2022,07:29:20,North,Electronics,2,$802.56,21.2,Credit Card,69.0,,Yes,ATLANTA
ORD001862,CUST00075,PROD0054,05/04/2022,18:24:39,South,Beauty,6,USD 111.26,10.3,Bank Transfer,63.0,2.9,No,New York
ORD002405,CUST00057,PROD0061,04-17-2022,16:39:09,north,Clothing,10,USD 148.10,2.6,Credit Card,27.0,3.8,No,PHOENIX
ORD002065,CUST00551,PROD0118,12/02/2022,18:55:41,Central,Toys,7,317.6,13.7,PayPal,73.0,2.6,No,Los Angeles
ORD002584,CUST00354,PROD0200,19/02/2023,15:44:17,West,Beauty,7,280,27.6,Debit Card,48.0,3.5,No,New York
ORD001464,CUST00257,PROD0058,2022/03/12,15:32:04,South,toys,1,190.19,1.0,Debit Card,46.0,1.8,No,Chicago
ORD002514,CUST00299,PROD0056,03-24-2022,20:18:21,NORTH,Electrnics,8,1159.48,0.6,Bank Transfer,40.0,2.2,No,Chicago
ORD001713,CUST00103,PROD0026,02-18-2022,18:33:27,NORTH,Books,1,333.09 USD,21.8,PayPal,27.0,,No,Seattle
ORD001847,CUST00189,PROD0093,08-21-2023,10:48:41,South,SPORTS,8,292.52,19.1,Cash,,1.1,Yes,Atlanta
ORD002487,CUST00343,PROD0076,28/04/2022,16:13:49,EAST,Electronics,8,1017.95 USD,21.1,Credit Card,63.0,3.4,No,Seattle
ORD002606,CUST00143,PROD0095,08-28-2022,10:43:43,EAST,Sports,1,376.10,25.0,PayPal,75.0,3.5,No,ATLANTA
ORD002431,CUST00004,PROD0042,11/12/2023,06:43:28,South,Books,10,20.29,28.3,Debit Card,58.0,3.9,No,Seattle
ORD002719,CUST00341,PROD0060,12-26-2023,17:33:07,North,Home & Garden,8,$259.26,25.1,Debit Card,23.0,1.7,Yes,CHICAGO
ORD002354,CUST00158,PROD0046,03-01-2023,09:47:16,  East  ,CLOTHING,2,22.26,15.8,Credit Card,21.0,2.6,Yes,New York
ORD002576,CUST00539,PROD0012,2023/01/22,11:36:40,EAST,BOOKS,9,$85.00,30.6,Debit Card,57.0,2.0,No,chicago
ORD002395,CUST00589,PROD0174,08-22-2023,15:37:42,Central,Books,6,274.81,19.6,Credit Card,36.0,3.7,No,miami
ORD001971,CUST00013,PROD0125,11/04/2022,21:05:54,EAST,Home & Garden,10,325.13,18.1,Cash,50.0,1.8,No,  Miami  
ORD001307,CUST00392,PROD0172,2022/05/21,09:31:41,North,Electronics,6,-15.0,19.2,Credit Card,54.0,1.9,Yes,Chicago
ORD002536,CUST00218,PROD0101,05/11/2022,06:50:21,South,Home & Garden,1,226.55,8.4,Cash,,,No,Los Angeles
ORD002383,CUST00358,PROD0198,04-14-2022,20:25:11,Central,CLOTHING,8,32.82,14.2,Bank Transfer,55.0,,No,HOUSTON
ORD001615,CUST00559,PROD0004,09-27-2023,13:56:19,East,Books,10,66.48,34.9,PayPal,63.0,0,No,Houston
ORD002665,CUST00129,PROD0107,2022/08/08,22:06:20,West,Home & Garden,4,279.73,31.6,Bank Transfer,31.0,4.4,No,New York
ORD001063,CUST00532,PROD0158,2022/08/05,16:10:25,Central,,9,246.44,20.4,Bank Transfer,71.0,2.2,No,Miami
ORD002729,CUST00093,PROD0015,15/10/2023,18:22:54,South,Sprots,10,USD 202.27,11.0,Cash,41.0,4.5,No,Seattle
ORD002459,CUST00584,PROD0002,07-01-2023,21:01:16,Central,Beauty,6,309.72,21.9,Debit Card,71.0,7,No,seattle
ORD001356,CUST00488,PROD0055,2023/11/17,08:22:27,  Central  ,home & garden,5,186.53,17.7,Bank Transfer,21.0,3.0,No,Houston
ORD001006,CUST00073,PROD0122,08/09/2023,21:15:50,NORTH,Toys,8,118.61 USD,14.2,Debit Card,45.0,1.8,No,Phoenix
ORD002363,CUST00070,PROD0193,09-09-2023,17:50:26,North,toys,6,77.38,13.4,Bank Transfer,41.0,2.7,No,Chicago
ORD001016,CUST00571,PROD0114,28/04/2022,16:48:57,North,Sports,3,USD 57.33,36.3,Bank Transfer,71.0,3.9,No,  Phoenix  
ORD001167,CUST00568,PROD0199,03/03/2022,17:29:00,  Central  ,Sports,8,217.14,24.8,PayPal,19.0,2.5,No,LOS ANGELES
ORD002276,CUST00362,PROD0152,12-24-2023,15:26:29,South,Toys,2,70.34,13.0,PayPal,69.0,1.2,No,denver
ORD001509,,PROD0190,2023/04/14,07:36:41,South,Toys,9,131.52,6.7,Credit Card,75.0,3.2,No,Chicago
ORD002290,CUST00400,PROD0175,04-04-2022,19:15:29,SOUTH,Books,2,303.73,9.0,Bank Transfer,40.0,4.3,No,phoenix
ORD002677,CUST00399,PROD0107,2022/07/17,21:37:23,,Beauty,9,168.27,5.7,Credit Card,69.0,1.2,No,Denver
ORD002417,CUST00072,PROD0115,14/06/2023,12:47:02,North,BEAUTY,2,310.36,19.7,Debit Card,75.0,2.5,Yes,  Miami  
ORD001644,CUST00544,PROD0100,04-04-2022,14:04:39,South,Sports,1,378.2,8.1,Bank Transfer,73.0,1.6,No,  New York  
ORD001156,CUST00434,PROD0133,08-18-2022,20:07:44,South,TOYS,6,22.7,15.2,Debit Card,0.0,3.8,No,  Dallas  
ORD001828,CUST00184,PROD0066,2022/12/26,15:59:43,,ELECTRONICS,2,454,36.4,PayPal,52.0,2.6,Yes,Miami
ORD002542,CUST00542,PROD0100,03-13-2022,00:15:43,West,,8,153.68,33.6,Credit Card,45.0,2.1,No,Dallas
ORD001541,CUST00008,PROD0041,03-12-2022,09:05:48,North,Books,3,23.70,28.0,Cash,32.0,1.6,No,Atlanta
ORD001143,CUST00313,PROD0051,2023/08/18,10:57:34,South,Electronics,10,201.89,35.7,PayPal,,4.5,No,  Dallas  
ORD002287,CUST00054,PROD0084,07-13-2022,20:07:44,  Central  ,TOYS,9,$213.22,16.9,PayPal,73.0,2.7,No,SEATTLE
ORD001712,CUST00246,PROD0071,21/09/2023,10:09:48,west,Home & Garden,10,39.36,22.3,Credit Card,65.0,2.9,No,houston
ORD001938,CUST00178,PROD0189,06/05/2022,07:53:37,WEST,Sprots,10,$50.09,18.9,Debit Card,27.0,1.7,No,New York
ORD001163,CUST00423,PROD0160,04-28-2023,20:17:44,EAST,Sprots,3,36.7,0.9,Cash,52.0,2.3,No,  New York  
ORD002333,CUST00061,PROD0123,01-10-2022,20:22:09,West,Sports,2,57.16,35.3,Cash,27.0,1.0,No,Chicago
ORD002039,CUST00055,PROD0157,04-05-2022,08:18:27,North,books,4,387.75,12.6,Cash,40.0,,No,Dallas
ORD001959,CUST00505,PROD0147,2023/11/19,17:45:20,SOUTH,home & garden,4,200.76,37.6,Credit Card,49.0,1.2,Yes,Los Angeles
ORD002237,CUST00586,PROD0047,2022/01/21,14:26:44,West,Books,6,116.87,8.7,PayPal,44.0,1.4,No,new york
ORD001391,CUST00436,PROD0012,2023/07/09,16:40:52,East,beauty,5,365.82,21.4,,28.0,2.6,No,Los Angeles
ORD001667,CUST00600,PROD0078,03-28-2023,02:36:27,West,beauty,1,313.32,22.7,Credit Card,32.0,1.3,No,  Houston  
ORD002205,CUST00301,PROD0198,04-26-2022,18:42:27,CENTRAL,Beauty,8,304.34,35.7,PayPal,60.0,5.0,No,Atlanta
ORD002381,CUST00417,PROD0055,2023/07/23,07:16:22,East,Electronics,10,357.52 USD,28.1,Credit Card,35.0,4.8,Yes,Miami
ORD002475,CUST00266,PROD0199,03-04-2023,17:38:30,  South  ,Toys,3,60.18 USD,20.6,Bank Transfer,36.0,4.7,No,Los Angeles
ORD001014,CUST00128,PROD0171,2023/12/10,10:12:26,  North  ,Beauty,7,207.78,22.8,PayPal,57.0,3.7,No,Chicago
ORD002579,CUST00159,PROD0181,18/11/2023,15:37:10,north,Sports,6,169.47,25.5,Debit Card,75.0,1.8,No,  Atlanta  
ORD002419,CUST00489,PROD0144,03-26-2022,10:19:27,West,Books,3,$47.64,31.6,PayPal,74.0,2.9,No,Denver
ORD002014,CUST00222,PROD0186,10-28-2022,04:31:45,West,HOME & GARDEN,7,$128.34,22.4,Credit Card,69.0,4.7,No,houston
ORD002477,CUST00168,PROD0131,2022/02/21,10:06:42,East,Clothng,2,31.62,20.2,PayPal,53.0,2.0,No,Chicago
ORD001685,CUST00209,PROD0117,2022/04/27,18:11:25,Central,clothing,2,94.80,4.3,Credit Card,67.0,2.7,No,Denver
ORD002177,CUST00260,PROD0095,2022/08/17,12:18:47,West,Sports,3,58.32,5.1,Bank Transfer,69.0,1.9,No,  New York  
ORD001112,CUST00161,PROD0077,2023/01/04,14:42:18,,Books,4,139.13,19.6,Bank Transfer,71.0,1.2,No,Phoenix
ORD002194,CUST00440,PROD0061,2023/04/13,14:04:31,North,Electronics,10,9999.99,10.4,Credit Card,,4.7,Yes,ATLANTA
ORD002343,CUST00153,PROD0014,22/12/2023,18:49:10,South,Beuaty,6,292.39 USD,22.4,Debit Card,70.0,4.2,No,Seattle
ORD001858,CUST00060,PROD0048,11-01-2022,09:24:09,  North  ,Beautty,10,81.68,28.0,Cash,35.0,2.5,No,HOUSTON
ORD002585,CUST00097,PROD0068,02/11/2023,08:32:00,West,CLOTHING,7,21.1,7.8,PayPal,28.0,1.5,No,  Seattle  
ORD002540,CUST00451,PROD0194,10-20-2022,18:24:50,Central,Books,1,242,25.6,PayPal,42.0,1.5,No,Seattle
ORD002743,CUST00161,PROD0037,09/12/2022,22:42:50,North,Toyz,3,USD 370.18,2.0,Credit Card,51.0,4.3,Yes,Denver
ORD001923,CUST00387,PROD0105,2022/09/14,14:29:01,North,BOOKS,10,177.58,0.9,,59.0,2.8,No,DENVER
ORD001211,CUST00204,PROD0189,12-22-2023,13:06:15,CENTRAL,Clothing,4,163.23,18.8,PayPal,22.0,1.8,Yes,new york
ORD001780,CUST00557,PROD0171,05/08/2022,15:10:47,West,Home & Garden,10,22.94,24.8,Cash,39.0,,No,SEATTLE
ORD001282,CUST00473,PROD0143,06-26-2023,12:28:28,East,BOOKS,4,43.49,12.2,Cash,26.0,-1,No,chicago
ORD002597,CUST00467,PROD0133,01/06/2022,17:50:20,Central,Beauty,6,15000.00 USD,25.8,Cash,20.0,3.4,No,Los Angeles
ORD001520,CUST00033,PROD0076,07-28-2023,17:32:19,central,Toys,3,142.08,31.8,Cash,33.0,,No,Phoenix
ORD002255,CUST00075,PROD0015,2022/06/10,09:29:40,SOUTH,Electronnics,5,885.04,19.3,Credit Card,26.0,3.8,Yes,Miami
ORD002073,CUST00170,PROD0152,2022/10/03,07:05:18,East,Books,4,354.31,38.0,Debit Card,51.0,3.2,No,MIAMI
ORD001686,,PROD0167,09-16-2022,21:24:06,North,Books,1,136.89,23.3,Cash,70.0,4.0,No,  Los Angeles  
ORD001721,CUST00143,PROD0159,2022/11/16,20:47:45,South,Electronics,8,305.73,12.0,Bank Transfer,39.0,1.0,No,atlanta
ORD001003,CUST00439,PROD0040,2023/10/13,07:55:07,central,Books,3,$151.18,15.4,Credit Card,22.0,4.2,Yes,New York
ORD001119,CUST00282,PROD0160,07-13-2022,15:43:33,Central,Home & Garden,8,342.12,38.7,Cash,60.0,1.4,No,phoenix
ORD002233,CUST00057,PROD0021,03/04/2022,13:52:01,East,Clothing,4,104.76 USD,26.7,Debit Card,34.0,1.4,No,Denver
ORD001825,CUST00192,PROD0097,2022/02/18,09:38:47,east,Electronics,7,1077.57,5.6,Cash,18.0,,Yes,NEW YORK
ORD002341,CUST00412,PROD0083,2022/09/04,22:54:01,SOUTH,Toyz,10,200.14,,Credit Card,18.0,4.2,No,  New York  
ORD002258,CUST00347,PROD0020,04-21-2022,17:50:12,NORTH,Toys,5,344.28,13.7,Credit Card,60.0,2.1,No,New York
ORD001668,CUST00346,PROD0181,2022/11/22,12:04:16,West,Home & Gardn,1,USD 337.44,15.9,Credit Card,38.0,2.2,No,Phoenix
ORD001351,CUST00432,PROD0071,25/11/2023,21:31:02,,,6,179.73,23.6,,38.0,1.5,No,ATLANTA
ORD001930,CUST00477,PROD0108,18/07/2023,06:55:30,Central,Electronics,1,$612.36,8.0,Debit Card,40.0,1.3,Yes,  Seattle  
ORD001500,CUST00269,PROD0186,07-02-2023,06:12:42,Central,Toys,1,$303.42,9.0,Cash,73.0,2.6,No,Los Angeles
ORD001074,CUST00297,PROD0037,2022/04/27,16:15:19,Central,Books,10,$367.39,2.4,Bank Transfer,35.0,3.1,No,seattle
ORD001202,CUST00011,PROD0073,2023/11/01,17:14:46,West,Beauty,1,334.36,37.5,Cash,21.0,1.1,No,Los Angeles
ORD001259,CUST00566,PROD0199,17/05/2022,14:15:53,  North  ,Electronics,3,461.59,2.4,Bank Transfer,64.0,2.7,Yes,Miami
ORD001086,CUST00410,PROD0177,06-26-2022,04:35:37,West,BEAUTY,1,177.88,27.2,Credit Card,67.0,2.8,No,Houston
ORD002647,CUST00583,PROD0007,01/03/2023,12:50:25,NORTH,Sports,6,364.42,16.8,,22.0,5.0,No,Houston
ORD001970,CUST00371,PROD0065,08-08-2022,15:21:58,  East  ,Home & Garden,6,355.3,4.9,Cash,40.0,1.9,No,Denver
ORD001416,CUST00328,PROD0044,06-27-2023,12:34:44,East,Home & Garden,8,183.31,22.9,Cash,72.0,2.0,No,Chicago
ORD001835,CUST00341,PROD0064,10-28-2023,11:23:50,North,Electronics,8,154.30,16.7,Cash,44.0,3.0,No,  Houston  
ORD001980,CUST00334,PROD0121,09-13-2022,10:34:51,EAST,Books,4,386.14,20.8,Bank Transfer,74.0,4.1,No,  Phoenix  
ORD001124,CUST00169,PROD0094,2022/07/01,22:10:07,South,Beauty,3,99.08,10.2,Credit Card,58.0,,No,Houston
ORD001253,CUST00120,PROD0186,2023/08/20,06:10:18,Central,Clothing,6,169,23.5,Cash,32.0,2.4,No,Chicago
ORD001182,CUST00093,PROD0163,11/05/2023,00:45:28,West,sports,3,279.77,39.0,Credit Card,68.0,3.1,No,  Seattle  
ORD001961,CUST00246,PROD0033,06-22-2023,21:03:29,NORTH,Home&Garden,9,320.28,38.7,Credit Card,23.0,3.2,Yes,Houston
ORD002250,CUST00170,PROD0065,2023/08/02,13:16:40,Central,Sprots,5,293.79,1.8,Debit Card,24.0,4.9,No,Atlanta
ORD002283,CUST00354,PROD0117,03-22-2022,22:39:13,North,Sports,4,23.10,21.5,PayPal,29.0,1.4,No,Miami
ORD001538,CUST00247,PROD0036,11/09/2022,08:06:36,East,Electronics,7,632.33,,Credit Card,44.0,4.5,No,Miami
ORD002601,CUST00477,PROD0125,2022/01/20,18:03:08,CENTRAL,Toys,4,30.96,16.9,Debit Card,39.0,4.6,No,Denver
ORD001694,CUST00302,PROD0176,26/08/2023,15:34:18,north,Toyz,8,21.47,13.1,Cash,45.0,2.5,No,MIAMI
ORD001581,CUST00502,PROD0104,07/03/2022,11:49:30,north,Sports,8,289.84,7.2,Bank Transfer,68.0,1.3,No,Atlanta
ORD002071,CUST00293,PROD0006,01-24-2023,13:18:41,Central,Books,10,$283.87,32.9,Cash,23.0,1.4,No,Houston
ORD001418,CUST00109,PROD0104,11-22-2023,18:14:54,NORTH,Books,6,384.49,6.3,Bank Transfer,46.0,2.9,No,miami
ORD001630,CUST00311,PROD0139,11/03/2022,18:58:08,West,Electrnics,7,976.23,,PayPal,46.0,2.3,No,LOS ANGELES
ORD002355,CUST00009,PROD0169,01-23-2023,11:17:10,  South  ,Books,6,113,35.1,Cash,36.0,4.4,No,DALLAS
ORD001396,CUST00242,PROD0020,06-15-2023,09:27:44,EAST,Sports,9,286.46 USD,4.9,Credit Card,65.0,4.0,No,Phoenix
ORD001837,CUST00337,PROD0121,24/09/2022,10:18:36,WEST,Home & Garden,10,USD 177.37,30.4,Cash,74.0,1.9,No,Denver
ORD001231,CUST00037,PROD0080,2023/01/06,21:27:08,South,home & garden,5,227.1,19.6,Debit Card,61.0,2.9,No,DALLAS
ORD002391,CUST00558,PROD0097,02-12-2023,08:01:43,  East  ,Books,5,199.03,9.4,PayPal,29.0,1.0,No,Chicago
ORD001273,CUST00067,PROD0174,2022/03/02,19:04:06,North,Beautty,8,368.46,3.8,Bank Transfer,43.0,1.2,No,Denver
ORD001405,CUST00294,PROD0067,2023/03/09,12:11:18,West,clothing,6,38.17,14.5,PayPal,55.0,2.1,No,phoenix
ORD001057,CUST00328,PROD0180,12/11/2022,11:45:45,East,Books,9,286.72,39.4,PayPal,25.0,4.2,No,Denver
ORD002098,CUST00149,PROD0068,27/11/2023,17:39:13,North,Beauty,10,$185.62,25.4,Bank Transfer,31.0,1.5,No,Miami
ORD001872,CUST00204,PROD0096,14/03/2023,16:34:13,East,Clothing,1,25.84,13.9,Credit Card,55.0,2.4,No,Los Angeles
ORD002423,CUST00395,PROD0005,26/09/2022,11:23:26,North,Sports,9,92.31,34.4,PayPal,27.0,4.6,No,Los Angeles
ORD002041,CUST00005,PROD0181,05-12-2022,10:26:13,South,clothing,6,$76.00,21.6,Credit Card,67.0,1.0,No,Chicago
ORD002110,CUST00572,PROD0152,26/12/2023,19:05:09,CENTRAL,Clothing,6,-15.0,11.2,Bank Transfer,30.0,4.3,No,Denver
ORD001821,CUST00434,PROD0157,28/12/2023,19:13:08,Central,Sports,5,176.64,8.3,Credit Card,60.0,1.9,No,Houston
ORD001907,CUST00114,PROD0076,2022/02/26,09:23:11,south,,2,188.26,29.5,Debit Card,52.0,1.5,No,new york
ORD002383,CUST00358,PROD0198,04-14-2022,20:25:11,Central,CLOTHING,8,32.82,14.2,Bank Transfer,55.0,,No,HOUSTON
ORD001203,CUST00260,PROD0171,05-15-2023,19:44:57,Central,Beauty,2,267.59,11.1,PayPal,22.0,2.3,No,Chicago
ORD001525,CUST00053,PROD0144,2023/08/19,01:59:24,West,,9,93.23 USD,27.4,Credit Card,18.0,1.7,No,  Chicago  
ORD002214,CUST00274,PROD0128,2022/03/15,08:50:54,West,Toys,6,227.16,13.4,Cash,34.0,2.1,No,Phoenix
ORD001562,CUST00120,PROD0007,07-17-2022,16:52:52,CENTRAL,Electrnics,2,306.31,25.9,Bank Transfer,57.0,1.3,No,New York
ORD001313,CUST00439,PROD0081,2023/09/23,15:26:49,Central,Home & Garden,4,353.74,37.8,Credit Card,33.0,3.5,No,Atlanta
